input size (n), operation count
22, 12582908
10, 3068
19, 1572860
28, 805306364
7, 380
9, 1532
4, 44
13, 24572
21, 6291452
5, 92
20, 3145724
3, 20
1, 2
10, 3068
19, 1572860
3, 20
20, 3145724
12, 12284
28, 805306364
28, 805306364
26, 201326588
7, 380
18, 786428
25, 100663292
23, 25165820
15, 98300
1, 2
18, 786428
16, 196604
13, 24572
16, 196604
8, 764
22, 12582908
5, 92
27, 402653180
20, 3145724
5, 92
1, 2
3, 20
25, 100663292
27, 402653180
14, 49148
19, 1572860
27, 402653180
23, 25165820
8, 764
29, 1610612732
14, 49148
11, 6140
19, 1572860
12, 12284
