input size (n), operation count
1,7
2,11
3,12
4,15
5,16
6,16
7,17
8,19
9,20
10,20
11,21
12,20
13,21
14,21
15,22
16,23
17,24
18,24
19,25
20,24
21,25
22,25
23,26
24,24
25,25
26,25
27,26
28,25
29,26
30,26
31,27
32,27
33,28
34,28
35,29
36,28
37,29
38,29
39,30
40,28
41,29
42,29
43,30
44,29
45,30
46,30
47,31
48,28
49,29
50,29
51,30
52,29
53,30
54,30
55,31
56,29
57,30
58,30
59,31
60,30
61,31
62,31
63,32
64,31
65,32
66,32
67,33
68,32
69,33
70,33
71,34
72,32
73,33
74,33
75,34
76,33
77,34
78,34
79,35
80,32
81,33
82,33
83,34
84,33
85,34
86,34
87,35
88,33
89,34
90,34
91,35
92,34
93,35
94,35
95,36
96,32
97,33
98,33
99,34
100,33
101,34
102,34
103,35
104,33
105,34
106,34
107,35
108,34
109,35
110,35
111,36
112,33
113,34
114,34
115,35
116,34
117,35
118,35
119,36
120,34
121,35
122,35
123,36
124,35
125,36
126,36
127,37
128,35
129,36
130,36
131,37
132,36
133,37
134,37
135,38
136,36
137,37
138,37
139,38
140,37
141,38
142,38
143,39
144,36
145,37
146,37
147,38
148,37
149,38
150,38
151,39
152,37
153,38
154,38
155,39
156,38
157,39
158,39
159,40
160,36
161,37
162,37
163,38
164,37
165,38
166,38
167,39
168,37
169,38
170,38
171,39
172,38
173,39
174,39
175,40
176,37
177,38
178,38
179,39
180,38
181,39
182,39
183,40
184,38
185,39
186,39
187,40
188,39
189,40
190,40
191,41
192,36
193,37
194,37
195,38
196,37
197,38
198,38
199,39
200,37
201,38
202,38
203,39
204,38
205,39
206,39
207,40
208,37
209,38
210,38
211,39
212,38
213,39
214,39
215,40
216,38
217,39
218,39
219,40
220,39
221,40
222,40
223,41
224,37
225,38
226,38
227,39
228,38
229,39
230,39
231,40
232,38
233,39
234,39
235,40
236,39
237,40
238,40
239,41
240,38
241,39
242,39
243,40
244,39
245,40
246,40
247,41
248,39
249,40
250,40
251,41
252,40
253,41
254,41
255,42
256,39
257,40
258,40
259,41
260,40
261,41
262,41
263,42
264,40
265,41
266,41
267,42
268,41
269,42
270,42
271,43
272,40
273,41
274,41
275,42
276,41
277,42
278,42
279,43
280,41
281,42
282,42
283,43
284,42
285,43
286,43
287,44
288,40
289,41
290,41
291,42
292,41
293,42
294,42
295,43
296,41
297,42
298,42
299,43
300,42
301,43
302,43
303,44
304,41
305,42
306,42
307,43
308,42
309,43
310,43
311,44
312,42
313,43
314,43
315,44
316,43
317,44
318,44
319,45
320,40
321,41
322,41
323,42
324,41
325,42
326,42
327,43
328,41
329,42
330,42
331,43
332,42
333,43
334,43
335,44
336,41
337,42
338,42
339,43
340,42
341,43
342,43
343,44
344,42
345,43
346,43
347,44
348,43
349,44
350,44
351,45
352,41
353,42
354,42
355,43
356,42
357,43
358,43
359,44
360,42
361,43
362,43
363,44
364,43
365,44
366,44
367,45
368,42
369,43
370,43
371,44
372,43
373,44
374,44
375,45
376,43
377,44
378,44
379,45
380,44
381,45
382,45
383,46
384,40
385,41
386,41
387,42
388,41
389,42
390,42
391,43
392,41
393,42
394,42
395,43
396,42
397,43
398,43
399,44
400,41
401,42
402,42
403,43
404,42
405,43
406,43
407,44
408,42
409,43
410,43
411,44
412,43
413,44
414,44
415,45
416,41
417,42
418,42
419,43
420,42
421,43
422,43
423,44
424,42
425,43
426,43
427,44
428,43
429,44
430,44
431,45
432,42
433,43
434,43
435,44
436,43
437,44
438,44
439,45
440,43
441,44
442,44
443,45
444,44
445,45
446,45
447,46
448,41
449,42
450,42
451,43
452,42
453,43
454,43
455,44
456,42
457,43
458,43
459,44
460,43
461,44
462,44
463,45
464,42
465,43
466,43
467,44
468,43
469,44
470,44
471,45
472,43
473,44
474,44
475,45
476,44
477,45
478,45
479,46
480,42
481,43
482,43
483,44
484,43
485,44
486,44
487,45
488,43
489,44
490,44
491,45
492,44
493,45
494,45
495,46
496,43
497,44
498,44
499,45
500,44
501,45
502,45
503,46
504,44
505,45
506,45
507,46
508,45
509,46
510,46
511,47
512,43
513,44
514,44
515,45
516,44
517,45
518,45
519,46
520,44
521,45
522,45
523,46
524,45
525,46
526,46
527,47
528,44
529,45
530,45
531,46
532,45
533,46
534,46
535,47
536,45
537,46
538,46
539,47
540,46
541,47
542,47
543,48
544,44
545,45
546,45
547,46
548,45
549,46
550,46
551,47
552,45
553,46
554,46
555,47
556,46
557,47
558,47
559,48
560,45
561,46
562,46
563,47
564,46
565,47
566,47
567,48
568,46
569,47
570,47
571,48
572,47
573,48
574,48
575,49
576,44
577,45
578,45
579,46
580,45
581,46
582,46
583,47
584,45
585,46
586,46
587,47
588,46
589,47
590,47
591,48
592,45
593,46
594,46
595,47
596,46
597,47
598,47
599,48
600,46
601,47
602,47
603,48
604,47
605,48
606,48
607,49
608,45
609,46
610,46
611,47
612,46
613,47
614,47
615,48
616,46
617,47
618,47
619,48
620,47
621,48
622,48
623,49
624,46
625,47
626,47
627,48
628,47
629,48
630,48
631,49
632,47
633,48
634,48
635,49
636,48
637,49
638,49
639,50
640,44
641,45
642,45
643,46
644,45
645,46
646,46
647,47
648,45
649,46
650,46
651,47
652,46
653,47
654,47
655,48
656,45
657,46
658,46
659,47
660,46
661,47
662,47
663,48
664,46
665,47
666,47
667,48
668,47
669,48
670,48
671,49
672,45
673,46
674,46
675,47
676,46
677,47
678,47
679,48
680,46
681,47
682,47
683,48
684,47
685,48
686,48
687,49
688,46
689,47
690,47
691,48
692,47
693,48
694,48
695,49
696,47
697,48
698,48
699,49
700,48
701,49
702,49
703,50
704,45
705,46
706,46
707,47
708,46
709,47
710,47
711,48
712,46
713,47
714,47
715,48
716,47
717,48
718,48
719,49
720,46
721,47
722,47
723,48
724,47
725,48
726,48
727,49
728,47
729,48
730,48
731,49
732,48
733,49
734,49
735,50
736,46
737,47
738,47
739,48
740,47
741,48
742,48
743,49
744,47
745,48
746,48
747,49
748,48
749,49
750,49
751,50
752,47
753,48
754,48
755,49
756,48
757,49
758,49
759,50
760,48
761,49
762,49
763,50
764,49
765,50
766,50
767,51
768,44
769,45
770,45
771,46
772,45
773,46
774,46
775,47
776,45
777,46
778,46
779,47
780,46
781,47
782,47
783,48
784,45
785,46
786,46
787,47
788,46
789,47
790,47
791,48
792,46
793,47
794,47
795,48
796,47
797,48
798,48
799,49
800,45
801,46
802,46
803,47
804,46
805,47
806,47
807,48
808,46
809,47
810,47
811,48
812,47
813,48
814,48
815,49
816,46
817,47
818,47
819,48
820,47
821,48
822,48
823,49
824,47
825,48
826,48
827,49
828,48
829,49
830,49
831,50
832,45
833,46
834,46
835,47
836,46
837,47
838,47
839,48
840,46
841,47
842,47
843,48
844,47
845,48
846,48
847,49
848,46
849,47
850,47
851,48
852,47
853,48
854,48
855,49
856,47
857,48
858,48
859,49
860,48
861,49
862,49
863,50
864,46
865,47
866,47
867,48
868,47
869,48
870,48
871,49
872,47
873,48
874,48
875,49
876,48
877,49
878,49
879,50
880,47
881,48
882,48
883,49
884,48
885,49
886,49
887,50
888,48
889,49
890,49
891,50
892,49
893,50
894,50
895,51
896,45
897,46
898,46
899,47
900,46
901,47
902,47
903,48
904,46
905,47
906,47
907,48
908,47
909,48
910,48
911,49
912,46
913,47
914,47
915,48
916,47
917,48
918,48
919,49
920,47
921,48
922,48
923,49
924,48
925,49
926,49
927,50
928,46
929,47
930,47
931,48
932,47
933,48
934,48
935,49
936,47
937,48
938,48
939,49
940,48
941,49
942,49
943,50
944,47
945,48
946,48
947,49
948,48
949,49
950,49
951,50
952,48
953,49
954,49
955,50
956,49
957,50
958,50
959,51
960,46
961,47
962,47
963,48
964,47
965,48
966,48
967,49
968,47
969,48
970,48
971,49
972,48
973,49
974,49
975,50
976,47
977,48
978,48
979,49
980,48
981,49
982,49
983,50
984,48
985,49
986,49
987,50
988,49
989,50
990,50
991,51
992,47
993,48
994,48
995,49
996,48
997,49
998,49
999,50
1000,48
1001,49
1002,49
1003,50
1004,49
1005,50
1006,50
1007,51
1008,48
1009,49
1010,49
1011,50
1012,49
1013,50
1014,50
1015,51
1016,49
1017,50
1018,50
1019,51
1020,50
1021,51
1022,51
1023,52
1024,47
1025,48
1026,48
1027,49
1028,48
1029,49
1030,49
1031,50
1032,48
1033,49
1034,49
1035,50
1036,49
1037,50
1038,50
1039,51
1040,48
1041,49
1042,49
1043,50
1044,49
1045,50
1046,50
1047,51
1048,49
1049,50
1050,50
1051,51
1052,50
1053,51
1054,51
1055,52
1056,48
1057,49
1058,49
1059,50
1060,49
1061,50
1062,50
1063,51
1064,49
1065,50
1066,50
1067,51
1068,50
1069,51
1070,51
1071,52
1072,49
1073,50
1074,50
1075,51
1076,50
1077,51
1078,51
1079,52
1080,50
1081,51
1082,51
1083,52
1084,51
1085,52
1086,52
1087,53
1088,48
1089,49
1090,49
1091,50
1092,49
1093,50
1094,50
1095,51
1096,49
1097,50
1098,50
1099,51
1100,50
1101,51
1102,51
1103,52
1104,49
1105,50
1106,50
1107,51
1108,50
1109,51
1110,51
1111,52
1112,50
1113,51
1114,51
1115,52
1116,51
1117,52
1118,52
1119,53
1120,49
1121,50
1122,50
1123,51
1124,50
1125,51
1126,51
1127,52
1128,50
1129,51
1130,51
1131,52
1132,51
1133,52
1134,52
1135,53
1136,50
1137,51
1138,51
1139,52
1140,51
1141,52
1142,52
1143,53
1144,51
1145,52
1146,52
1147,53
1148,52
1149,53
1150,53
1151,54
1152,48
1153,49
1154,49
1155,50
1156,49
1157,50
1158,50
1159,51
1160,49
1161,50
1162,50
1163,51
1164,50
1165,51
1166,51
1167,52
1168,49
1169,50
1170,50
1171,51
1172,50
1173,51
1174,51
1175,52
1176,50
1177,51
1178,51
1179,52
1180,51
1181,52
1182,52
1183,53
1184,49
1185,50
1186,50
1187,51
1188,50
1189,51
1190,51
1191,52
1192,50
1193,51
1194,51
1195,52
1196,51
1197,52
1198,52
1199,53
1200,50
1201,51
1202,51
1203,52
1204,51
1205,52
1206,52
1207,53
1208,51
1209,52
1210,52
1211,53
1212,52
1213,53
1214,53
1215,54
1216,49
1217,50
1218,50
1219,51
1220,50
1221,51
1222,51
1223,52
1224,50
1225,51
1226,51
1227,52
1228,51
1229,52
1230,52
1231,53
1232,50
1233,51
1234,51
1235,52
1236,51
1237,52
1238,52
1239,53
1240,51
1241,52
1242,52
1243,53
1244,52
1245,53
1246,53
1247,54
1248,50
1249,51
1250,51
1251,52
1252,51
1253,52
1254,52
1255,53
1256,51
1257,52
1258,52
1259,53
1260,52
1261,53
1262,53
1263,54
1264,51
1265,52
1266,52
1267,53
1268,52
1269,53
1270,53
1271,54
1272,52
1273,53
1274,53
1275,54
1276,53
1277,54
1278,54
1279,55
1280,48
1281,49
1282,49
1283,50
1284,49
1285,50
1286,50
1287,51
1288,49
1289,50
1290,50
1291,51
1292,50
1293,51
1294,51
1295,52
1296,49
1297,50
1298,50
1299,51
1300,50
1301,51
1302,51
1303,52
1304,50
1305,51
1306,51
1307,52
1308,51
1309,52
1310,52
1311,53
1312,49
1313,50
1314,50
1315,51
1316,50
1317,51
1318,51
1319,52
1320,50
1321,51
1322,51
1323,52
1324,51
1325,52
1326,52
1327,53
1328,50
1329,51
1330,51
1331,52
1332,51
1333,52
1334,52
1335,53
1336,51
1337,52
1338,52
1339,53
1340,52
1341,53
1342,53
1343,54
1344,49
1345,50
1346,50
1347,51
1348,50
1349,51
1350,51
1351,52
1352,50
1353,51
1354,51
1355,52
1356,51
1357,52
1358,52
1359,53
1360,50
1361,51
1362,51
1363,52
1364,51
1365,52
1366,52
1367,53
1368,51
1369,52
1370,52
1371,53
1372,52
1373,53
1374,53
1375,54
1376,50
1377,51
1378,51
1379,52
1380,51
1381,52
1382,52
1383,53
1384,51
1385,52
1386,52
1387,53
1388,52
1389,53
1390,53
1391,54
1392,51
1393,52
1394,52
1395,53
1396,52
1397,53
1398,53
1399,54
1400,52
1401,53
1402,53
1403,54
1404,53
1405,54
1406,54
1407,55
1408,49
1409,50
1410,50
1411,51
1412,50
1413,51
1414,51
1415,52
1416,50
1417,51
1418,51
1419,52
1420,51
1421,52
1422,52
1423,53
1424,50
1425,51
1426,51
1427,52
1428,51
1429,52
1430,52
1431,53
1432,51
1433,52
1434,52
1435,53
1436,52
1437,53
1438,53
1439,54
1440,50
1441,51
1442,51
1443,52
1444,51
1445,52
1446,52
1447,53
1448,51
1449,52
1450,52
1451,53
1452,52
1453,53
1454,53
1455,54
1456,51
1457,52
1458,52
1459,53
1460,52
1461,53
1462,53
1463,54
1464,52
1465,53
1466,53
1467,54
1468,53
1469,54
1470,54
1471,55
1472,50
1473,51
1474,51
1475,52
1476,51
1477,52
1478,52
1479,53
1480,51
1481,52
1482,52
1483,53
1484,52
1485,53
1486,53
1487,54
1488,51
1489,52
1490,52
1491,53
1492,52
1493,53
1494,53
1495,54
1496,52
1497,53
1498,53
1499,54
1500,53
1501,54
1502,54
1503,55
1504,51
1505,52
1506,52
1507,53
1508,52
1509,53
1510,53
1511,54
1512,52
1513,53
1514,53
1515,54
1516,53
1517,54
1518,54
1519,55
1520,52
1521,53
1522,53
1523,54
1524,53
1525,54
1526,54
1527,55
1528,53
1529,54
1530,54
1531,55
1532,54
1533,55
1534,55
1535,56
1536,48
1537,49
1538,49
1539,50
1540,49
1541,50
1542,50
1543,51
1544,49
1545,50
1546,50
1547,51
1548,50
1549,51
1550,51
1551,52
1552,49
1553,50
1554,50
1555,51
1556,50
1557,51
1558,51
1559,52
1560,50
1561,51
1562,51
1563,52
1564,51
1565,52
1566,52
1567,53
1568,49
1569,50
1570,50
1571,51
1572,50
1573,51
1574,51
1575,52
1576,50
1577,51
1578,51
1579,52
1580,51
1581,52
1582,52
1583,53
1584,50
1585,51
1586,51
1587,52
1588,51
1589,52
1590,52
1591,53
1592,51
1593,52
1594,52
1595,53
1596,52
1597,53
1598,53
1599,54
1600,49
1601,50
1602,50
1603,51
1604,50
1605,51
1606,51
1607,52
1608,50
1609,51
1610,51
1611,52
1612,51
1613,52
1614,52
1615,53
1616,50
1617,51
1618,51
1619,52
1620,51
1621,52
1622,52
1623,53
1624,51
1625,52
1626,52
1627,53
1628,52
1629,53
1630,53
1631,54
1632,50
1633,51
1634,51
1635,52
1636,51
1637,52
1638,52
1639,53
1640,51
1641,52
1642,52
1643,53
1644,52
1645,53
1646,53
1647,54
1648,51
1649,52
1650,52
1651,53
1652,52
1653,53
1654,53
1655,54
1656,52
1657,53
1658,53
1659,54
1660,53
1661,54
1662,54
1663,55
1664,49
1665,50
1666,50
1667,51
1668,50
1669,51
1670,51
1671,52
1672,50
1673,51
1674,51
1675,52
1676,51
1677,52
1678,52
1679,53
1680,50
1681,51
1682,51
1683,52
1684,51
1685,52
1686,52
1687,53
1688,51
1689,52
1690,52
1691,53
1692,52
1693,53
1694,53
1695,54
1696,50
1697,51
1698,51
1699,52
1700,51
1701,52
1702,52
1703,53
1704,51
1705,52
1706,52
1707,53
1708,52
1709,53
1710,53
1711,54
1712,51
1713,52
1714,52
1715,53
1716,52
1717,53
1718,53
1719,54
1720,52
1721,53
1722,53
1723,54
1724,53
1725,54
1726,54
1727,55
1728,50
1729,51
1730,51
1731,52
1732,51
1733,52
1734,52
1735,53
1736,51
1737,52
1738,52
1739,53
1740,52
1741,53
1742,53
1743,54
1744,51
1745,52
1746,52
1747,53
1748,52
1749,53
1750,53
1751,54
1752,52
1753,53
1754,53
1755,54
1756,53
1757,54
1758,54
1759,55
1760,51
1761,52
1762,52
1763,53
1764,52
1765,53
1766,53
1767,54
1768,52
1769,53
1770,53
1771,54
1772,53
1773,54
1774,54
1775,55
1776,52
1777,53
1778,53
1779,54
1780,53
1781,54
1782,54
1783,55
1784,53
1785,54
1786,54
1787,55
1788,54
1789,55
1790,55
1791,56
1792,49
1793,50
1794,50
1795,51
1796,50
1797,51
1798,51
1799,52
1800,50
1801,51
1802,51
1803,52
1804,51
1805,52
1806,52
1807,53
1808,50
1809,51
1810,51
1811,52
1812,51
1813,52
1814,52
1815,53
1816,51
1817,52
1818,52
1819,53
1820,52
1821,53
1822,53
1823,54
1824,50
1825,51
1826,51
1827,52
1828,51
1829,52
1830,52
1831,53
1832,51
1833,52
1834,52
1835,53
1836,52
1837,53
1838,53
1839,54
1840,51
1841,52
1842,52
1843,53
1844,52
1845,53
1846,53
1847,54
1848,52
1849,53
1850,53
1851,54
1852,53
1853,54
1854,54
1855,55
1856,50
1857,51
1858,51
1859,52
1860,51
1861,52
1862,52
1863,53
1864,51
1865,52
1866,52
1867,53
1868,52
1869,53
1870,53
1871,54
1872,51
1873,52
1874,52
1875,53
1876,52
1877,53
1878,53
1879,54
1880,52
1881,53
1882,53
1883,54
1884,53
1885,54
1886,54
1887,55
1888,51
1889,52
1890,52
1891,53
1892,52
1893,53
1894,53
1895,54
1896,52
1897,53
1898,53
1899,54
1900,53
1901,54
1902,54
1903,55
1904,52
1905,53
1906,53
1907,54
1908,53
1909,54
1910,54
1911,55
1912,53
1913,54
1914,54
1915,55
1916,54
1917,55
1918,55
1919,56
1920,50
1921,51
1922,51
1923,52
1924,51
1925,52
1926,52
1927,53
1928,51
1929,52
1930,52
1931,53
1932,52
