input size (n), operation count
19215, 646234070
18184, 578751254
21031, 774145846
5038, 44445230
5841, 59737361
17494, 535666274
24777, 1074460793
20202, 714322512
7044, 86870124
22276, 868507820
6814, 81291014
2989, 15651145
4615, 37297270
14602, 373212512
13967, 341461718
20780, 755778984
20349, 724755065
17355, 527188490
19020, 633185304
24876, 1083063720
9342, 152779062
19189, 644486545
1340, 3149664
17154, 515048844
2673, 12518321
24510, 1051429974
15245, 406801385
4937, 42681593
16483, 475546906
18612, 606313812
4434, 34430004
2050, 7365644
11796, 243569700
465, 380945
7088, 87958530
8989, 141453145
17959, 564518710
23218, 943509860
4192, 30775562
16356, 468247740
20494, 735119774
2358, 9743250
19345, 655007185
16461, 474278441
8312, 120952062
24665, 1064769545
12242, 262333812
3661, 23475241
8372, 122704212
22614, 895062114
3537, 21912593
17714, 549222564
16803, 494188826
21229, 788790025
1220, 2611404
10828, 205239320
12092, 255945312
16466, 474566580
15766, 435078530
3575, 22385750
1430, 3586434
11552, 233598762
5626, 55421720
4578, 36701820
3369, 19881305
4066, 28953980
13567, 322185718
12681, 281483321
18636, 607878360
9111, 145318166
4037, 28542593
5482, 52621712
11470, 230294654
14734, 379989854
21944, 842814174
19782, 684931962
14399, 362908790
538, 509480
23444, 961965924
22772, 907612212
14504, 368220294
18333, 588273881
6838, 81864530
6307, 69646618
14563, 371221786
24411, 1042953866
17135, 513908630
18007, 567540118
15877, 441225793
24253, 1029497401
12934, 292825754
8659, 131259610
2157, 8153993
9912, 171988062
13237, 306704593
5527, 53488918
13979, 342048650
1804, 5705144
18208, 580279850
23967, 1005361718
10916, 208588380
13597, 323611993
4450, 34678844
22386, 877105860
3331, 19435546
17746, 551208500
8520, 127080054
9083, 144426506
18284, 585133704
6964, 84908564
23207, 942616118
24140, 1019927064
298, 157040
21397, 801322993
5447, 51952118
6213, 67586561
20808, 757816950
13934, 339850254
24220, 1026697904
3037, 16157593
13188, 304438380
3506, 21530340
11696, 239458050
15345, 412155185
13419, 315195530
24933, 1088032481
12224, 261563034
18750, 615337494
1738, 5295680
5432, 51666462
17717, 549408593
4006, 28106090
10381, 188646121
22167, 860029718
1392, 3398562
13713, 329156561
6265, 68722345
1264, 2802914
14148, 350368140
15901, 442560601
8229, 118549025
12355, 267198490
15041, 395988161
24879, 1083324950
104, 19494
20488, 734689430
22444, 881656424
20913, 765483761
775, 1055350
13016, 296550030
23950, 1003936094
