input size (n), operation count
4294962296, 155
4294962297, 156
4294962298, 156
4294962299, 157
4294962300, 156
4294962301, 157
4294962302, 157
4294962303, 158
4294962304, 152
4294962305, 153
4294962306, 153
4294962307, 154
4294962308, 153
4294962309, 154
4294962310, 154
4294962311, 155
4294962312, 153
4294962313, 154
4294962314, 154
4294962315, 155
4294962316, 154
4294962317, 155
4294962318, 155
4294962319, 156
4294962320, 153
4294962321, 154
4294962322, 154
4294962323, 155
4294962324, 154
4294962325, 155
4294962326, 155
4294962327, 156
4294962328, 154
4294962329, 155
4294962330, 155
4294962331, 156
4294962332, 155
4294962333, 156
4294962334, 156
4294962335, 157
4294962336, 153
4294962337, 154
4294962338, 154
4294962339, 155
4294962340, 154
4294962341, 155
4294962342, 155
4294962343, 156
4294962344, 154
4294962345, 155
4294962346, 155
4294962347, 156
4294962348, 155
4294962349, 156
4294962350, 156
4294962351, 157
4294962352, 154
4294962353, 155
4294962354, 155
4294962355, 156
4294962356, 155
4294962357, 156
4294962358, 156
4294962359, 157
4294962360, 155
4294962361, 156
4294962362, 156
4294962363, 157
4294962364, 156
4294962365, 157
4294962366, 157
4294962367, 158
4294962368, 153
4294962369, 154
4294962370, 154
4294962371, 155
4294962372, 154
4294962373, 155
4294962374, 155
4294962375, 156
4294962376, 154
4294962377, 155
4294962378, 155
4294962379, 156
4294962380, 155
4294962381, 156
4294962382, 156
4294962383, 157
4294962384, 154
4294962385, 155
4294962386, 155
4294962387, 156
4294962388, 155
4294962389, 156
4294962390, 156
4294962391, 157
4294962392, 155
4294962393, 156
4294962394, 156
4294962395, 157
4294962396, 156
4294962397, 157
4294962398, 157
4294962399, 158
4294962400, 154
4294962401, 155
4294962402, 155
4294962403, 156
4294962404, 155
4294962405, 156
4294962406, 156
4294962407, 157
4294962408, 155
4294962409, 156
4294962410, 156
4294962411, 157
4294962412, 156
4294962413, 157
4294962414, 157
4294962415, 158
4294962416, 155
4294962417, 156
4294962418, 156
4294962419, 157
4294962420, 156
4294962421, 157
4294962422, 157
4294962423, 158
4294962424, 156
4294962425, 157
4294962426, 157
4294962427, 158
4294962428, 157
4294962429, 158
4294962430, 158
4294962431, 159
4294962432, 152
4294962433, 153
4294962434, 153
4294962435, 154
4294962436, 153
4294962437, 154
4294962438, 154
4294962439, 155
4294962440, 153
4294962441, 154
4294962442, 154
4294962443, 155
4294962444, 154
4294962445, 155
4294962446, 155
4294962447, 156
4294962448, 153
4294962449, 154
4294962450, 154
4294962451, 155
4294962452, 154
4294962453, 155
4294962454, 155
4294962455, 156
4294962456, 154
4294962457, 155
4294962458, 155
4294962459, 156
4294962460, 155
4294962461, 156
4294962462, 156
4294962463, 157
4294962464, 153
4294962465, 154
4294962466, 154
4294962467, 155
4294962468, 154
4294962469, 155
4294962470, 155
4294962471, 156
4294962472, 154
4294962473, 155
4294962474, 155
4294962475, 156
4294962476, 155
4294962477, 156
4294962478, 156
4294962479, 157
4294962480, 154
4294962481, 155
4294962482, 155
4294962483, 156
4294962484, 155
4294962485, 156
4294962486, 156
4294962487, 157
4294962488, 155
4294962489, 156
4294962490, 156
4294962491, 157
4294962492, 156
4294962493, 157
4294962494, 157
4294962495, 158
4294962496, 153
4294962497, 154
4294962498, 154
4294962499, 155
4294962500, 154
4294962501, 155
4294962502, 155
4294962503, 156
4294962504, 154
4294962505, 155
4294962506, 155
4294962507, 156
4294962508, 155
4294962509, 156
4294962510, 156
4294962511, 157
4294962512, 154
4294962513, 155
4294962514, 155
4294962515, 156
4294962516, 155
4294962517, 156
4294962518, 156
